Raw,StoreCode,StoreName
"0540 PEP NORTHAM SHOPRITE CENTRE SHOP NO 24 SHOPRITE CENTRE, TLOU STREET NORTHAM RUSTENBURG LIMPOPO",0540,PEP NORTHAM
"0543 PEP KWAMASHU CENTRE KWAMASHU CENTRE, 300 MALANDELA ROAD UNDLONDLO ROAD KWAMASHU KWAMASHU KWAZULU-NATAL",0543,PEP KWAMASHU
"0546 PEP SECUNDA CENTRE SHOP 5 SECUNDA CENTRE, KITSHOFF STREET SECUNDA SECUNDA MPUMALANGA",0546,PEP SECUNDA
"0561 PEP BETHLEHEM HIGH STREET SHOP, C/O HIGH STREET MALAN STREET BETHLEHEM BETHLEHEM FREE STATE",0561,PEP BETHLEHEM
"0566 PEP UMKOMAAS SHOP 1 AZANIA INVESTMENTS BUILDING, BRAD STREET UMKOMAAS UMKOMAAS KWAZULU-NATAL",0566,PEP UMKOMAAS
"0572 PEP FICKSBURG FONTEIN STREET SHOP, FONTEIN STREET FICKSBURG FICKSBURG FREE STATE",0572,PEP FICKSBURG
"0573 PEP GEORGE VANDERSTEL SQUARE SHOP 3 VANDERSTEL SQUARE, 87 HIBERNIA STREET GEORGE GEORGE WESTERN CAPE",0573,PEP GEORGE
"0578 PEP EAST LONDON ALBERT STR SHOP 2-7 GLADSTONE HOUSE, 4 ALBERT STREET EAST LONDON EAST LONDON EASTERN CAPE",0578,PEP EAST
"0580 PEP LUSIKISIKI SHOP 1 MGAGA BUILDING, MAIN STREET LUSIKISIKI LUSIKISIKI EASTERN CAPE",0580,PEP LUSIKISIKI
"0599 PEP CPT WYNBERG MAIN ROAD SHOP, C/O MAIN ROAD MAYNARD WAY WYNBERG CAPE TOWN WESTERN CAPE",0599,PEP CPT
"0601 PEP CRADOCK BEEREN STREET SHOP, 16 BEEREN STREET CRADOCK CRADOCK EASTERN CAPE",0601,PEP CRADOCK
"0603 PEP PHALABORWA SHOPRITE CENTRE SHOP 8 SHOPRITE CENTRE , CORNER SEALENE PALM AVENUE PHALABORWA PHALABORWA LIMPOPO",0603,PEP PHALABORWA
"0604 PEP PIETERMARITZBURG 49 CHURCH SHOP 47, 49 CHURCH STREET PIETERMARITZBURG PIETERMARITZBURG KWAZULU-NATAL",0604,PEP PIETERMARITZBURG
"0605 PEP LADYSMITH ILLING ROAD SHOP_ BUILDING _, 62 ILLING ROAD LADYSMITH LADYSMITH KWAZULU-NATAL",0605,PEP LADYSMITH
